UF,CÃ³digo Mantenedora,RazÃ£o Social,CNPJ,Natureza JurÃ­dica,CÃ³digo IES,InstituiÃ§Ã£o(IES),Sigla,Telefone,Sitio,e-Mail,EndereÃ§o Sede,MunicÃ­pio,UF,OrganizaÃ§Ã£o AcadÃªmica,Tipo de Credenciamento,Categoria,Categoria Administrativa,Data do Ato de Criação da IES,CI,Ano CI,CI-EaD,Ano CI-EaD,IGC,Ano IGC,Reitor/Dirigente Principal,Representante Legal,Sinalizações Vigentes,SituaÃ§Ã£o da IES
PA,16350,UNIVERSIDADE FEDERAL RURAL DA AMAZONIA,05.200.001/0001-01,Pessoa Jurídica de Direito Público - Federal,590,UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA (UFRA),UFRA,(91) 992039881 / 992061044,www.ufra.edu.br,dra@ufra.edu.br; adriano.gama@ufra.edu.br; reitoria@ufra.edu.br,Avenida Presidente Tancredo Neves - 2501 - CEP: 66077-580 - Terra Firme,Belém,PA,Universidade,EAD - Superior / Presencial - Superior,Publica,Pública Federal,1945-12-05,5,2023,4,2015,4,2022,,,,Ativa
RO,15587,FUNDACAO UNIVERSIDADE FEDERAL DE RONDONIA,04.418.943/0001-90,Pessoa Jurídica de Direito Público - Federal,699,FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA (UNIR),UNIR,(69) 2182 2019/(69) 2182 2020,www.unir.br,reitoria@unir.br,"BR 364 - Km 9,5 - CEP: 76808-695 - s/n",Porto Velho,RO,Universidade,EAD - Superior / Presencial - Superior,Publica,Pública Federal,1982-07-09,4,2023,3,2016,4,2022,,,,Ativa
RO,14814,"INSTITUTO FEDERAL DE EDUCACAO,CIENCIA E TECNOLOGIA DE RONDONIA",10.817.343/0001-05,Pessoa Jurídica de Direito Público - Federal,4785,INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DE RONDÔNIA (IFRO),IFRO,(69) 2182-9601,www.ifro.edu.br,reitoria@ifro.edu.br,Avenida Calama - 0994 - CEP: 76820-441 - Flodoaldo Pontes Pinto,Porto Velho,RO,"Instituto Federal de Educação, Ciência e Tecnologia",EAD - Superior / Presencial - Superior,Publica,Pública Federal,2006-02-03,4,2017,3,2012,3,2022,,,,Ativa
RR,16809,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE RORAIMA",10.839.508/0001-31,Pessoa Jurídica de Direito Público - Federal,3184,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RORAIMA (IFRR)",IFRR,(95) 36241224,www.ifrr.edu.br,gabinete.reitoria@ifrr.edu.br,Avenida Glaycon de Paiva - 2496 - CEP: 69303-340 - Pricumã,Boa Vista,RR,"Instituto Federal de Educação, Ciência e Tecnologia",EAD - Superior / Presencial - Superior,Publica,Pública Federal,2002-11-14,4,2024,-,,3,2022,,,,Ativa
RR,15705,UNIVERSIDADE ESTADUAL DE RORAIMA,08.240.695/0001-90,Pessoa Jurídica de Direito Público - Estadual,5077,UNIVERSIDADE ESTADUAL DE RORAIMA (UERR),UERR,95-2121-0934,www.uerr.edu.br,registro@uerr.edu.br,Avenida Sete de Setembro - 231 - CEP: 69306-530 - Canarinho,Boa Vista,RR,Universidade,EAD - Superior / Presencial - Superior,Publica,Pública Estadual,2018-06-04,-,,-,,3,2022,,,,Ativa
RR,541,UNIVERSIDADE FEDERAL DE RORAIMA,34.792.077/0001-63,Pessoa Jurídica de Direito Público - Federal,789,UNIVERSIDADE FEDERAL DE RORAIMA (UFRR),UFRR,(95) 3621 3100/(95) 3621 3102,www.ufrr.br,pesquisainstitucional@ufrr.br; reitoria@ufrr.br,Avenida Capitão Ene Garcez - 2413 - CEP: 69310-000 - Aeroporto,Boa Vista,RR,Universidade,EAD - Superior / Presencial - Superior,Publica,Pública Federal,1985-09-13,3,2010,5,2022,4,2022,,,,Ativa
TO,1080,FUNDACAO EDUCACIONAL DE PARAISO DO TOCANTINS FEPAR,26.753.855/0001-87,Privada sem fins lucrativos,1646,FACULDADE DE EDUCAÇÃO CIÊNCIAS E LETRAS DE PARAÍSO (FECIPAR),FECIPAR,(63)36026649;(63)36021272; (63)99871373(63)999398594,www.fecipar.edu.br,soniamariafran@gmail.com;luapviegas16@gmail.com,Rua L-20 - S/N - CEP: 77600-000 - Interlagos,Paraíso do Tocantins,TO,Faculdade,Presencial - Superior,Privada,Pública Municipal,1995-10-06,3,2017,-,,2,2021,,,"Suspensão contrato FIES, Suspensão PROUNI",Ativa
TO,15523,FUNDACAO DE DESENVOLVIMENTO SUSTENTAVEL DO CANTAO,10.573.895/0001-07,Pessoa Jurídica de Direito Público - Municipal,17291,FACULDADE FAPAF (FAPAF),FAPAF,(63) 981280055,www.fapaf.edu.br,reitor@fapaf.edu.br,Avenida Diogenes de Brito - 51 - CEP: 77570-000 - Centro,Pium,TO,Faculdade,Presencial - Superior,Publica,Pública Municipal,2009-08-20,1,2016,-,,-,,,,,Ativa
TO,15498,FUNDACAO UNIVERSIDADE FEDERAL DO TOCANTINS,05.149.726/0001-04,Pessoa Jurídica de Direito Público - Federal,3849,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS (UFT),UFT,(63)3229-4012/(63)3229-4035,www.uft.edu.br,reitor@uft.edu.br,Avenida NS 15 ALCNO 14 - s/n - CEP: 77001-090 - Centro,Palmas,TO,Universidade,EAD - Superior / Presencial - Superior,Publica,Pública Federal,2000-10-24,-,,-,,-,,,,,Ativa
TO,9074,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO TOCANTINS",10.742.006/0001-98,Pessoa Jurídica de Direito Público - Federal,4786,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TOCANTINS (IFTO)",IFTO,(63) 3229-2200,www.ifto.edu.br,reitoria@ifto.edu.br,Quadra 202 Sul Avenida Joaquim Teotônio Segurado - 08 - CEP: 77020-450 - Plano Diretor Sul,Palmas,TO,"Instituto Federal de Educação, Ciência e Tecnologia",EAD - Superior / Presencial - Superior,Publica,Pública Federal,2006-02-03,4,2023,4,2017,3,2022,,,,Ativa
TO,573,FUNDACAO UNIVERSIDADE DO TOCANTINS - UNITINS,01.637.536/0001-85,Pessoa Jurídica de Direito Público - Estadual,829,UNIVERSIDADE ESTADUAL DO TOCANTINS (UNITINS),UNITINS,(63) 3901 - 4302 e (63) 99958 -1263,www.unitins.br,augusto.rc@unitins.br; arlenes.ds@unitins.br;,108 Sul Al. 11 - 03 - CEP: 77020-122 - Centro,Palmas,TO,Universidade,EAD - Superior / Presencial - Superior,Publica,Pública Estadual,1990-02-21,-,,-,,3,2022,,,,Ativa
TO,18313,UNIVERSIDADE FEDERAL DO NORTE DO TOCANTINS - UFNT,38.178.825/0001-73,Pessoa Jurídica de Direito Público - Federal,29118,Universidade Federal do Norte do Tocantins (UFNT),UFNT,6334165601,www.ufnt.edu.br,reitoria@ufnt.edu.br,Paraguai - S/N - CEP: 77824-838 - Bairro da Cimba,Araguaína,TO,Universidade,EAD - Superior / Presencial - Superior,Publica,Pública Federal,2019-07-09,3,2024,4,2019,4,2022,,,,Ativa
